Date_received,S_num,E_num,I_num,count,mean_CopyPerML,sd_CopyPerML
2023-04-13,44,4,0,48,9.794087982177734,0.5234721271118209
2023-06-09,58,3,0,61,2.381920782725014,2.2163303476536833
2023-08-03,55,5,1,61,1.275741571850247,0.44563407718225867
2023-10-04,52,4,0,56,7.281587770250109,0.4162133000680979
2023-12-14,47,4,1,52,0.990648526615566,0.5269140302735457
2024-02-14,30,6,0,36,2.0498368316226525,1.2254348052917359
2024-10-18,26,4,0,30,3.3185023943583176,1.1919878306785394
2024-12-11,31,8,0,39,2.408324999279446,1.4911305705187936
