Date_received,S_num,E_num,I_num,count,mean_CopyPerML,sd_CopyPerML
2023-02-27,44,4,0,48,3.5886035283406588,1.4561540433935922
2023-04-12,58,3,0,61,9.794087982177734,0.5234721271118209
2023-06-06,55,5,1,61,2.381920782725014,2.2163303476536833
2023-08-01,52,4,0,56,1.275741571850247,0.44563407718225867
2023-10-02,47,4,1,52,7.281587770250109,0.4162133000680979
2023-12-11,30,6,0,36,0.990648526615566,0.5269140302735457
2024-02-12,26,4,0,30,2.0498368316226525,1.2254348052917359
2024-04-09,31,8,0,39,5.477649603949653,0.8288369711399964
